sample,channel,frame,angl,val
20180718-1252-0001,ch2,15,0,5032.6787109375
20180718-1252-0001,ch2,15,0,4855.5302734375
20180718-1252-0001,ch2,15,0,4624.11572265625
20180718-1252-0001,ch2,15,0,4316.01123046875
20180718-1252-0001,ch2,15,0,3974.797119140625
20180718-1252-0001,ch2,15,0,3659.106201171875
20180718-1252-0001,ch2,15,0,3430.914306640625
20180718-1252-0001,ch2,15,0,3347.66796875
20180718-1252-0001,ch2,15,0,3458.047119140625
20180718-1252-0001,ch2,15,0,3802.708984375
20180718-1252-0001,ch2,15,0,4407.9658203125
20180718-1252-0001,ch2,15,0,5263.9599609375
20180718-1252-0001,ch2,15,0,6301.2021484375
20180718-1252-0001,ch2,15,0,7377.0146484375
20180718-1252-0001,ch2,15,0,8303.44921875
20180718-1252-0001,ch2,15,0,8908.9384765625
20180718-1252-0001,ch2,15,0,9102.443359375
20180718-1252-0001,ch2,15,0,8905.0390625
20180718-1252-0001,ch2,15,0,8417.556640625
20180718-1252-0001,ch2,15,0,7768.92578125
20180718-1252-0001,ch2,15,0,7061.06884765625
20180718-1252-0001,ch2,15,0,6348.103515625
20180718-1252-0001,ch2,15,0,5652.001953125
20180718-1252-0001,ch2,15,0,4980.18701171875
20180718-1252-0001,ch2,15,0,4345.05712890625
20180718-1252-0001,ch2,15,0,3767.85546875
20180718-1252-0001,ch2,15,0,3273.8623046875
20180718-1252-0001,ch2,15,0,2883.202880859375
20180718-1252-0001,ch2,15,0,2605.14306640625
20180718-1252-0001,ch2,15,0,2436.74609375
20180718-1252-0001,ch2,15,0,2364.75341796875
20180718-1252-0001,ch2,15,0,2368.215576171875
20180718-1252-0001,ch2,15,0,2418.849853515625
20180718-1252-0001,ch2,15,0,2484.92919921875
20180718-1252-0001,ch2,15,0,2535.375244140625
20180718-1252-0001,ch2,15,0,2547.24853515625
20180718-1252-0001,ch2,15,0,2511.0029296875
20180718-1252-0001,ch2,15,0,2432.792724609375
20180718-1252-0001,ch2,15,0,2328.27783203125
20180718-1252-0001,ch2,15,0,2218.59326171875
20180718-1252-0001,ch2,15,0,2123.138427734375
20180718-1252-0001,ch2,15,0,2058.52001953125
20180718-1252-0001,ch2,15,0,2041.126708984375
20180718-1252-0001,ch2,15,0,2087.776611328125
20180718-1252-0001,ch2,15,0,2220.679931640625
20180718-1252-0001,ch2,15,0,2461.88330078125
20180718-1252-0001,ch2,15,0,2821.58203125
20180718-1252-0001,ch2,15,0,3271.673828125
20180718-1252-0001,ch2,15,0,3712.075927734375
20180718-1252-0001,ch2,15,0,3970.00390625
20180718-1252-0001,ch2,15,0,3877.5927734375
20180718-1252-0001,ch2,15,0,3380.6806640625
20180718-1252-0001,ch2,15,0,2589.08642578125
20180718-1252-0001,ch2,15,0,1724.721435546875
20180718-1252-0001,ch2,15,0,998.7498779296875
20180718-1252-0001,ch2,15,0,511.46234130859375
20180718-1252-0001,ch2,15,0,241.565673828125
20180718-1252-0001,ch2,15,0,112.43582916259766
20180718-1252-0001,ch2,15,0,56.33280944824219
20180718-1252-0001,ch2,15,0,33.206661224365234
20180718-1252-0001,ch2,15,0,24.230453491210938
20180718-1252-0001,ch2,15,0,21.607101440429688
20180718-1252-0001,ch2,15,0,22.010433197021484
20180718-1252-0001,ch2,15,0,23.657676696777344
20180718-1252-0001,ch2,15,0,25.27031707763672
20180718-1252-0001,ch2,15,0,25.78902816772461
20180718-1252-0001,ch2,15,0,24.660043716430664
20180718-1252-0001,ch2,15,0,21.96591567993164
20180718-1252-0001,ch2,15,0,18.211406707763672
20180718-1252-0001,ch2,15,0,14.185137748718262
20180718-1252-0001,ch2,15,0,10.501911163330078
20180718-1252-0001,ch2,15,0,7.4711785316467285
20180718-1252-0001,ch2,15,0,5.191399097442627
20180718-1252-0001,ch2,15,0,3.586113691329956
20180718-1252-0001,ch2,15,0,2.5339207649230957
20180718-1252-0001,ch2,15,0,1.886045217514038
20180718-1252-0001,ch2,15,0,1.5289326906204224
20180718-1252-0001,ch2,15,0,1.3805174827575684
20180718-1252-0001,ch2,15,0,1.3878133296966553
20180718-1252-0001,ch2,15,0,1.5179258584976196
20180718-1252-0001,ch2,15,0,1.7278356552124023
20180718-1252-0001,ch2,15,0,1.9623892307281494
20180718-1252-0001,ch2,15,0,2.1403634548187256
20180718-1252-0001,ch2,15,0,2.18410587310791
20180718-1252-0001,ch2,15,0,2.068636417388916
20180718-1252-0001,ch2,15,0,1.8175097703933716
20180718-1252-0001,ch2,15,0,1.509670376777649
20180718-1252-0001,ch2,15,0,1.225982904434204
20180718-1252-0001,ch2,15,0,1.0197776556015015
20180718-1252-0001,ch2,15,0,0.9135608673095703
20180718-1252-0001,ch2,15,0,0.9152222871780396
20180718-1252-0001,ch2,15,0,1.039075493812561
20180718-1252-0001,ch2,15,0,1.321219801902771
20180718-1252-0001,ch2,15,0,1.8274552822113037
20180718-1252-0001,ch2,15,0,2.6358957290649414
20180718-1252-0001,ch2,15,0,3.778660774230957
20180718-1252-0001,ch2,15,0,5.204294204711914
20180718-1252-0001,ch2,15,0,6.649282455444336
20180718-1252-0001,ch2,15,0,7.68971061706543
20180718-1252-0001,ch2,15,0,7.978490352630615
20180718-1252-0001,ch2,15,0,7.409306049346924
20180718-1252-0001,ch2,15,0,6.209643840789795
20180718-1252-0001,ch2,15,0,4.831424236297607
20180718-1252-0001,ch2,15,0,3.686140298843384
20180718-1252-0001,ch2,15,0,2.9932172298431396
20180718-1252-0001,ch2,15,0,2.827118396759033
20180718-1252-0001,ch2,15,0,3.1835930347442627
20180718-1252-0001,ch2,15,0,4.016014575958252
20180718-1252-0001,ch2,15,0,5.091438293457031
20180718-1252-0001,ch2,15,0,5.935803413391113
20180718-1252-0001,ch2,15,0,6.0691118240356445
20180718-1252-0001,ch2,15,0,5.321722984313965
20180718-1252-0001,ch2,15,0,3.958944320678711
20180718-1252-0001,ch2,15,0,2.4957668781280518
20180718-1252-0001,ch2,15,0,1.3815991878509521
20180718-1252-0001,ch2,15,0,0.744518518447876
20180718-1252-0001,ch2,15,0,0.4529387950897217
20180718-1252-0001,ch2,15,0,0.35655686259269714
20180718-1252-0001,ch2,15,0,0.3774068355560303
20180718-1252-0001,ch2,15,0,0.5042445063591003
20180718-1252-0001,ch2,15,0,0.7668616771697998
20180718-1252-0001,ch2,15,0,1.2119189500808716
20180718-1252-0001,ch2,15,0,1.877668857574463
20180718-1252-0001,ch2,15,0,2.7639927864074707
20180718-1252-0001,ch2,15,0,3.833141803741455
20180718-1252-0001,ch2,15,0,5.038704872131348
20180718-1252-0001,ch2,15,0,6.357285976409912
20180718-1252-0001,ch2,15,0,7.851560115814209
20180718-1252-0001,ch2,15,0,9.630311965942383
20180718-1252-0001,ch2,15,0,11.797908782958984
20180718-1252-0001,ch2,15,0,14.383086204528809
20180718-1252-0001,ch2,15,0,17.2059383392334
20180718-1252-0001,ch2,15,0,19.97021484375
20180718-1252-0001,ch2,15,0,22.3366756439209
20180718-1252-0001,ch2,15,0,24.11522674560547
20180718-1252-0001,ch2,15,0,25.419410705566406
20180718-1252-0001,ch2,15,0,26.679824829101562
20180718-1252-0001,ch2,15,0,28.545677185058594
20180718-1252-0001,ch2,15,0,31.757816314697266
20180718-1252-0001,ch2,15,0,36.985103607177734
20180718-1252-0001,ch2,15,0,44.328460693359375
20180718-1252-0001,ch2,15,0,53.1279182434082
20180718-1252-0001,ch2,15,0,61.421905517578125
20180718-1252-0001,ch2,15,0,66.55953979492188
20180718-1252-0001,ch2,15,0,66.5957260131836
20180718-1252-0001,ch2,15,0,61.04756164550781
20180718-1252-0001,ch2,15,0,51.67731857299805
20180718-1252-0001,ch2,15,0,41.192745208740234
20180718-1252-0001,ch2,15,0,32.03871536254883
20180718-1252-0001,ch2,15,0,25.706321716308594
20180718-1252-0001,ch2,15,0,22.56306266784668
20180718-1252-0001,ch2,15,0,22.74228286743164
20180718-1252-0001,ch2,15,0,26.683269500732422
20180718-1252-0001,ch2,15,0,35.45381164550781
20180718-1252-0001,ch2,15,0,50.45514678955078
20180718-1252-0001,ch2,15,0,72.69155883789062
20180718-1252-0001,ch2,15,0,100.72518920898438
20180718-1252-0001,ch2,15,0,129.82797241210938
20180718-1252-0001,ch2,15,0,153.4478759765625
20180718-1252-0001,ch2,15,0,165.6822509765625
20180718-1252-0001,ch2,15,0,165.3695068359375
20180718-1252-0001,ch2,15,0,156.2871551513672
20180718-1252-0001,ch2,15,0,144.7147216796875
20180718-1252-0001,ch2,15,162.0,5032.6787109375
20180718-1252-0001,ch2,15,162.0,4697.44140625
20180718-1252-0001,ch2,15,162.0,4839.8876953125
