sample,channel,frame,angl,val
20180718-1300-0004,ch2,8,0,2115.2646484375
20180718-1300-0004,ch2,8,0,2272.43505859375
20180718-1300-0004,ch2,8,0,2356.647705078125
20180718-1300-0004,ch2,8,0,2426.0732421875
20180718-1300-0004,ch2,8,0,2468.134033203125
20180718-1300-0004,ch2,8,0,2474.16845703125
20180718-1300-0004,ch2,8,0,2443.294921875
20180718-1300-0004,ch2,8,0,2381.51953125
20180718-1300-0004,ch2,8,0,2301.549072265625
20180718-1300-0004,ch2,8,0,2219.00048828125
20180718-1300-0004,ch2,8,0,2147.25048828125
20180718-1300-0004,ch2,8,0,2096.485107421875
20180718-1300-0004,ch2,8,0,2069.990478515625
20180718-1300-0004,ch2,8,0,2065.79638671875
20180718-1300-0004,ch2,8,0,2077.349609375
20180718-1300-0004,ch2,8,0,2097.232421875
20180718-1300-0004,ch2,8,0,2120.424072265625
20180718-1300-0004,ch2,8,0,2147.17041015625
20180718-1300-0004,ch2,8,0,2185.357421875
20180718-1300-0004,ch2,8,0,2248.31103515625
20180718-1300-0004,ch2,8,0,2350.50634765625
20180718-1300-0004,ch2,8,0,2502.568359375
20180718-1300-0004,ch2,8,0,2701.748046875
20180718-1300-0004,ch2,8,0,2924.0400390625
20180718-1300-0004,ch2,8,0,3120.5986328125
20180718-1300-0004,ch2,8,0,3225.89501953125
20180718-1300-0004,ch2,8,0,3178.17822265625
20180718-1300-0004,ch2,8,0,2950.086669921875
20180718-1300-0004,ch2,8,0,2565.226806640625
20180718-1300-0004,ch2,8,0,2091.3232421875
20180718-1300-0004,ch2,8,0,1613.624267578125
20180718-1300-0004,ch2,8,0,1200.397705078125
20180718-1300-0004,ch2,8,0,886.5135498046875
20180718-1300-0004,ch2,8,0,673.887451171875
20180718-1300-0004,ch2,8,0,546.400146484375
20180718-1300-0004,ch2,8,0,482.8313293457031
20180718-1300-0004,ch2,8,0,461.56390380859375
20180718-1300-0004,ch2,8,0,459.2824401855469
20180718-1300-0004,ch2,8,0,450.425048828125
20180718-1300-0004,ch2,8,0,413.2813720703125
20180718-1300-0004,ch2,8,0,341.32373046875
20180718-1300-0004,ch2,8,0,246.71238708496094
20180718-1300-0004,ch2,8,0,152.64413452148438
20180718-1300-0004,ch2,8,0,79.77547454833984
20180718-1300-0004,ch2,8,0,35.41600799560547
20180718-1300-0004,ch2,8,0,13.844826698303223
20180718-1300-0004,ch2,8,0,5.121735095977783
20180718-1300-0004,ch2,8,0,1.9964221715927124
20180718-1300-0004,ch2,8,0,0.9172056913375854
20180718-1300-0004,ch2,8,0,0.5445159673690796
20180718-1300-0004,ch2,8,0,0.429096519947052
20180718-1300-0004,ch2,8,0,0.42747730016708374
20180718-1300-0004,ch2,8,0,0.49142423272132874
20180718-1300-0004,ch2,8,0,0.5941753387451172
20180718-1300-0004,ch2,8,0,0.7049310207366943
20180718-1300-0004,ch2,8,0,0.7898677587509155
20180718-1300-0004,ch2,8,0,0.819379985332489
20180718-1300-0004,ch2,8,0,0.7872259616851807
20180718-1300-0004,ch2,8,0,0.7132855653762817
20180718-1300-0004,ch2,8,0,0.6312693357467651
20180718-1300-0004,ch2,8,0,0.5813271999359131
20180718-1300-0004,ch2,8,0,0.5982799530029297
20180718-1300-0004,ch2,8,0,0.7244969606399536
20180718-1300-0004,ch2,8,0,1.0244135856628418
20180718-1300-0004,ch2,8,0,1.5866693258285522
20180718-1300-0004,ch2,8,0,2.468409538269043
20180718-1300-0004,ch2,8,0,3.585575580596924
20180718-1300-0004,ch2,8,0,4.647006988525391
20180718-1300-0004,ch2,8,0,5.294224739074707
20180718-1300-0004,ch2,8,0,5.301136016845703
20180718-1300-0004,ch2,8,0,4.704741477966309
20180718-1300-0004,ch2,8,0,3.8135390281677246
20180718-1300-0004,ch2,8,0,2.9711952209472656
20180718-1300-0004,ch2,8,0,2.4078316688537598
20180718-1300-0004,ch2,8,0,2.215717077255249
20180718-1300-0004,ch2,8,0,2.4082539081573486
20180718-1300-0004,ch2,8,0,3.032838821411133
20180718-1300-0004,ch2,8,0,4.067213535308838
20180718-1300-0004,ch2,8,0,5.360379695892334
20180718-1300-0004,ch2,8,0,6.504721641540527
20180718-1300-0004,ch2,8,0,7.0180206298828125
20180718-1300-0004,ch2,8,0,6.665038108825684
20180718-1300-0004,ch2,8,0,5.5387725830078125
20180718-1300-0004,ch2,8,0,4.082928657531738
20180718-1300-0004,ch2,8,0,2.7652463912963867
20180718-1300-0004,ch2,8,0,1.8420437574386597
20180718-1300-0004,ch2,8,0,1.3348551988601685
20180718-1300-0004,ch2,8,0,1.1486232280731201
20180718-1300-0004,ch2,8,0,1.2063350677490234
20180718-1300-0004,ch2,8,0,1.4659388065338135
20180718-1300-0004,ch2,8,0,1.9019848108291626
20180718-1300-0004,ch2,8,0,2.443502426147461
20180718-1300-0004,ch2,8,0,2.9769458770751953
20180718-1300-0004,ch2,8,0,3.370814561843872
20180718-1300-0004,ch2,8,0,3.520486831665039
20180718-1300-0004,ch2,8,0,3.4273269176483154
20180718-1300-0004,ch2,8,0,3.1593518257141113
20180718-1300-0004,ch2,8,0,2.8200552463531494
20180718-1300-0004,ch2,8,0,2.5114290714263916
20180718-1300-0004,ch2,8,0,2.2748098373413086
20180718-1300-0004,ch2,8,0,2.1280739307403564
20180718-1300-0004,ch2,8,0,2.0730509757995605
20180718-1300-0004,ch2,8,0,2.097700595855713
20180718-1300-0004,ch2,8,0,2.200314998626709
20180718-1300-0004,ch2,8,0,2.3624978065490723
20180718-1300-0004,ch2,8,0,2.5666451454162598
20180718-1300-0004,ch2,8,0,2.78437876701355
20180718-1300-0004,ch2,8,0,2.9922122955322266
20180718-1300-0004,ch2,8,0,3.174393653869629
20180718-1300-0004,ch2,8,0,3.3200650215148926
20180718-1300-0004,ch2,8,0,3.43615984916687
20180718-1300-0004,ch2,8,0,3.5253665447235107
20180718-1300-0004,ch2,8,0,3.610347270965576
20180718-1300-0004,ch2,8,0,3.7141613960266113
20180718-1300-0004,ch2,8,0,3.864603281021118
20180718-1300-0004,ch2,8,0,4.078187942504883
20180718-1300-0004,ch2,8,0,4.335696220397949
20180718-1300-0004,ch2,8,0,4.619009494781494
20180718-1300-0004,ch2,8,0,4.854023456573486
20180718-1300-0004,ch2,8,0,4.983080863952637
20180718-1300-0004,ch2,8,0,4.949089050292969
20180718-1300-0004,ch2,8,0,4.738354682922363
20180718-1300-0004,ch2,8,0,4.3827338218688965
20180718-1300-0004,ch2,8,0,3.923143148422241
20180718-1300-0004,ch2,8,0,3.430135488510132
20180718-1300-0004,ch2,8,0,2.935774326324463
20180718-1300-0004,ch2,8,0,2.460304021835327
20180718-1300-0004,ch2,8,0,2.016878128051758
20180718-1300-0004,ch2,8,0,1.624961256980896
20180718-1300-0004,ch2,8,0,1.2890989780426025
20180718-1300-0004,ch2,8,0,1.0315263271331787
20180718-1300-0004,ch2,8,0,0.8639458417892456
20180718-1300-0004,ch2,8,0,0.7858588099479675
20180718-1300-0004,ch2,8,0,0.8071017265319824
20180718-1300-0004,ch2,8,0,0.9483129382133484
20180718-1300-0004,ch2,8,0,1.2493979930877686
20180718-1300-0004,ch2,8,0,1.7718617916107178
20180718-1300-0004,ch2,8,0,2.5595531463623047
20180718-1300-0004,ch2,8,0,3.597304344177246
20180718-1300-0004,ch2,8,0,4.740020275115967
20180718-1300-0004,ch2,8,0,5.713047981262207
20180718-1300-0004,ch2,8,0,6.233257293701172
20180718-1300-0004,ch2,8,0,6.090854167938232
20180718-1300-0004,ch2,8,0,5.365583419799805
20180718-1300-0004,ch2,8,0,4.306744575500488
20180718-1300-0004,ch2,8,0,3.2172365188598633
20180718-1300-0004,ch2,8,0,2.355602741241455
20180718-1300-0004,ch2,8,0,1.7829681634902954
20180718-1300-0004,ch2,8,0,1.482112169265747
20180718-1300-0004,ch2,8,0,1.3993637561798096
20180718-1300-0004,ch2,8,0,1.4788451194763184
20180718-1300-0004,ch2,8,0,1.6803796291351318
20180718-1300-0004,ch2,8,0,1.9619033336639404
20180718-1300-0004,ch2,8,0,2.2603673934936523
20180718-1300-0004,ch2,8,0,2.531414031982422
20180718-1300-0004,ch2,8,0,2.7532334327697754
20180718-1300-0004,ch2,8,0,2.9355974197387695
20180718-1300-0004,ch2,8,0,3.14034366607666
20180718-1300-0004,ch2,8,0,3.4349732398986816
20180718-1300-0004,ch2,8,0,3.9024102687835693
20180718-1300-0004,ch2,8,0,4.584319591522217
20180718-1300-0004,ch2,8,0,5.491471290588379
20180718-1300-0004,ch2,8,0,6.579801082611084
20180718-1300-0004,ch2,8,0,7.6632399559021
20180718-1300-0004,ch2,8,0,8.553190231323242
20180718-1300-0004,ch2,8,36.0,2115.2646484375
20180718-1300-0004,ch2,8,36.0,2271.6640625
20180718-1300-0004,ch2,8,36.0,2398.486572265625
20180718-1300-0004,ch2,8,36.0,2466.40771484375
20180718-1300-0004,ch2,8,36.0,2523.316650390625
20180718-1300-0004,ch2,8,36.0,2537.4833984375
20180718-1300-0004,ch2,8,36.0,2537.306640625
20180718-1300-0004,ch2,8,36.0,2534.89794921875
20180718-1300-0004,ch2,8,36.0,2502.94775390625
20180718-1300-0004,ch2,8,36.0,2497.51171875
20180718-1300-0004,ch2,8,36.0,2450.30810546875
20180718-1300-0004,ch2,8,36.0,2506.44677734375
20180718-1300-0004,ch2,8,36.0,2514.31884765625
20180718-1300-0004,ch2,8,36.0,2469.661376953125
20180718-1300-0004,ch2,8,36.0,2450.5244140625
20180718-1300-0004,ch2,8,36.0,2415.58447265625
20180718-1300-0004,ch2,8,36.0,2341.814453125
20180718-1300-0004,ch2,8,36.0,2287.3798828125
20180718-1300-0004,ch2,8,36.0,2221.05419921875
20180718-1300-0004,ch2,8,36.0,2059.81640625
20180718-1300-0004,ch2,8,36.0,1964.717041015625
20180718-1300-0004,ch2,8,36.0,1756.7041015625
20180718-1300-0004,ch2,8,36.0,1756.7041015625
20180718-1300-0004,ch2,8,36.0,1548.21142578125
20180718-1300-0004,ch2,8,36.0,1373.088623046875
20180718-1300-0004,ch2,8,36.0,1320.2674560546875
20180718-1300-0004,ch2,8,36.0,1271.865234375
20180718-1300-0004,ch2,8,36.0,1271.865234375
20180718-1300-0004,ch2,8,36.0,1334.75
20180718-1300-0004,ch2,8,36.0,1508.9703369140625
20180718-1300-0004,ch2,8,36.0,1708.35302734375
20180718-1300-0004,ch2,8,36.0,1946.0460205078125
20180718-1300-0004,ch2,8,36.0,2124.19580078125
20180718-1300-0004,ch2,8,36.0,2056.263916015625
20180718-1300-0004,ch2,8,36.0,1942.1644287109375
20180718-1300-0004,ch2,8,36.0,1796.3466796875
20180718-1300-0004,ch2,8,36.0,1384.2796630859375
20180718-1300-0004,ch2,8,36.0,1122.715087890625
20180718-1300-0004,ch2,8,36.0,984.0419311523438
20180718-1300-0004,ch2,8,36.0,674.8076171875
20180718-1300-0004,ch2,8,36.0,498.88226318359375
20180718-1300-0004,ch2,8,36.0,330.30267333984375
20180718-1300-0004,ch2,8,36.0,222.92733764648438
20180718-1300-0004,ch2,8,36.0,134.69692993164062
20180718-1300-0004,ch2,8,36.0,134.69692993164062
20180718-1300-0004,ch2,8,36.0,74.18705749511719
20180718-1300-0004,ch2,8,36.0,35.764034271240234
20180718-1300-0004,ch2,8,36.0,16.100126266479492
20180718-1300-0004,ch2,8,36.0,6.115516662597656
20180718-1300-0004,ch2,8,36.0,6.115516662597656
20180718-1300-0004,ch2,8,36.0,2.2446110248565674
20180718-1300-0004,ch2,8,36.0,0.9293709397315979
20180718-1300-0004,ch2,8,36.0,0.4986307621002197
20180718-1300-0004,ch2,8,36.0,0.38229942321777344
20180718-1300-0004,ch2,8,36.0,0.38229942321777344
20180718-1300-0004,ch2,8,36.0,0.4417739510536194
20180718-1300-0004,ch2,8,36.0,0.6547626256942749
20180718-1300-0004,ch2,8,36.0,0.7500404119491577
20180718-1300-0004,ch2,8,36.0,1.1159521341323853
20180718-1300-0004,ch2,8,36.0,1.1800631284713745
20180718-1300-0004,ch2,8,36.0,1.4655461311340332
20180718-1300-0004,ch2,8,36.0,1.675291895866394
20180718-1300-0004,ch2,8,36.0,1.478182077407837
20180718-1300-0004,ch2,8,36.0,1.4806067943572998
20180718-1300-0004,ch2,8,36.0,1.4018912315368652
20180718-1300-0004,ch2,8,36.0,1.5511388778686523
20180718-1300-0004,ch2,8,36.0,1.5905020236968994
20180718-1300-0004,ch2,8,36.0,2.0088677406311035
20180718-1300-0004,ch2,8,36.0,2.662031650543213
20180718-1300-0004,ch2,8,36.0,3.193337917327881
20180718-1300-0004,ch2,8,36.0,4.060173034667969
20180718-1300-0004,ch2,8,36.0,4.060173034667969
20180718-1300-0004,ch2,8,36.0,4.791974067687988
20180718-1300-0004,ch2,8,36.0,5.186084270477295
20180718-1300-0004,ch2,8,36.0,5.279943943023682
20180718-1300-0004,ch2,8,36.0,4.905705451965332
20180718-1300-0004,ch2,8,36.0,4.905705451965332
20180718-1300-0004,ch2,8,36.0,4.105565071105957
20180718-1300-0004,ch2,8,36.0,3.1218485832214355
20180718-1300-0004,ch2,8,36.0,2.705857515335083
20180718-1300-0004,ch2,8,36.0,1.9163963794708252
20180718-1300-0004,ch2,8,36.0,1.9163963794708252
20180718-1300-0004,ch2,8,36.0,1.3954859972000122
20180718-1300-0004,ch2,8,36.0,1.3298509120941162
20180718-1300-0004,ch2,8,36.0,1.1787055730819702
20180718-1300-0004,ch2,8,36.0,1.2073838710784912
20180718-1300-0004,ch2,8,36.0,1.4144511222839355
20180718-1300-0004,ch2,8,36.0,1.387679934501648
20180718-1300-0004,ch2,8,36.0,1.6365201473236084
20180718-1300-0004,ch2,8,36.0,1.909031629562378
20180718-1300-0004,ch2,8,36.0,2.1658458709716797
20180718-1300-0004,ch2,8,36.0,2.2073941230773926
20180718-1300-0004,ch2,8,36.0,2.3351263999938965
20180718-1300-0004,ch2,8,36.0,2.203798294067383
20180718-1300-0004,ch2,8,36.0,2.0971455574035645
20180718-1300-0004,ch2,8,36.0,1.924713373184204
20180718-1300-0004,ch2,8,36.0,1.6226706504821777
20180718-1300-0004,ch2,8,36.0,1.459596872329712
20180718-1300-0004,ch2,8,36.0,1.459596872329712
20180718-1300-0004,ch2,8,36.0,1.3315725326538086
20180718-1300-0004,ch2,8,36.0,1.2489190101623535
20180718-1300-0004,ch2,8,36.0,1.19698166847229
20180718-1300-0004,ch2,8,36.0,1.215926170349121
20180718-1300-0004,ch2,8,36.0,1.215926170349121
20180718-1300-0004,ch2,8,36.0,1.3626987934112549
20180718-1300-0004,ch2,8,36.0,1.5494248867034912
20180718-1300-0004,ch2,8,36.0,2.0463876724243164
20180718-1300-0004,ch2,8,36.0,2.8029775619506836
20180718-1300-0004,ch2,8,36.0,2.8029775619506836
20180718-1300-0004,ch2,8,36.0,3.611477851867676
20180718-1300-0004,ch2,8,36.0,4.089869499206543
20180718-1300-0004,ch2,8,36.0,4.020793914794922
20180718-1300-0004,ch2,8,36.0,3.223464250564575
20180718-1300-0004,ch2,8,36.0,2.531233787536621
20180718-1300-0004,ch2,8,36.0,2.139470100402832
20180718-1300-0004,ch2,8,36.0,1.509601354598999
20180718-1300-0004,ch2,8,36.0,0.856174111366272
20180718-1300-0004,ch2,8,36.0,0.5504299998283386
20180718-1300-0004,ch2,8,36.0,0.439930260181427
20180718-1300-0004,ch2,8,36.0,0.473168283700943
20180718-1300-0004,ch2,8,36.0,0.45771098136901855
20180718-1300-0004,ch2,8,36.0,0.6215586066246033
20180718-1300-0004,ch2,8,36.0,0.9649477601051331
20180718-1300-0004,ch2,8,36.0,1.118919849395752
20180718-1300-0004,ch2,8,36.0,1.650606393814087
20180718-1300-0004,ch2,8,36.0,1.650606393814087
20180718-1300-0004,ch2,8,36.0,2.2393131256103516
20180718-1300-0004,ch2,8,36.0,2.3559675216674805
20180718-1300-0004,ch2,8,36.0,2.977163553237915
20180718-1300-0004,ch2,8,36.0,3.765979290008545
20180718-1300-0004,ch2,8,36.0,3.765979290008545
20180718-1300-0004,ch2,8,36.0,4.6873579025268555
20180718-1300-0004,ch2,8,36.0,5.2482008934021
20180718-1300-0004,ch2,8,36.0,5.446340084075928
20180718-1300-0004,ch2,8,36.0,4.385750770568848
20180718-1300-0004,ch2,8,36.0,4.385750770568848
20180718-1300-0004,ch2,8,36.0,2.590205192565918
20180718-1300-0004,ch2,8,36.0,1.5713781118392944
20180718-1300-0004,ch2,8,36.0,0.5072135329246521
20180718-1300-0004,ch2,8,36.0,0.11900381743907928
20180718-1300-0004,ch2,8,36.0,0.045262835919857025
20180718-1300-0004,ch2,8,36.0,0.0261301901191473
20180718-1300-0004,ch2,8,36.0,0.014803744852542877
20180718-1300-0004,ch2,8,36.0,0.01842319592833519
20180718-1300-0004,ch2,8,36.0,0.09254229068756104
20180718-1300-0004,ch2,8,36.0,0.7584665417671204
20180718-1300-0004,ch2,8,36.0,1.0123435258865356
20180718-1300-0004,ch2,8,36.0,7.578763008117676
20180718-1300-0004,ch2,8,36.0,61.3214111328125
20180718-1300-0004,ch2,8,36.0,241.58929443359375
20180718-1300-0004,ch2,8,36.0,683.2973022460938
20180718-1300-0004,ch2,8,36.0,1133.474853515625
20180718-1300-0004,ch2,8,36.0,1133.474853515625
20180718-1300-0004,ch2,8,36.0,1198.7550048828125
20180718-1300-0004,ch2,8,36.0,912.9859619140625
20180718-1300-0004,ch2,8,36.0,411.06292724609375
20180718-1300-0004,ch2,8,36.0,99.93606567382812
20180718-1300-0004,ch2,8,36.0,99.93606567382812
20180718-1300-0004,ch2,8,36.0,14.589252471923828
20180718-1300-0004,ch2,8,36.0,3.014892101287842
20180718-1300-0004,ch2,8,36.0,0.512848973274231
20180718-1300-0004,ch2,8,36.0,0.25038567185401917
20180718-1300-0004,ch2,8,36.0,0.25038567185401917
20180718-1300-0004,ch2,8,36.0,0.3469564914703369
20180718-1300-0004,ch2,8,36.0,0.5392357707023621
20180718-1300-0004,ch2,8,36.0,1.0214512348175049
20180718-1300-0004,ch2,8,36.0,1.4593520164489746
20180718-1300-0004,ch2,8,36.0,1.8638759851455688
20180718-1300-0004,ch2,8,36.0,1.7809536457061768
20180718-1300-0004,ch2,8,36.0,1.8297861814498901
20180718-1300-0004,ch2,8,36.0,1.5102059841156006
20180718-1300-0004,ch2,8,36.0,1.343915581703186
20180718-1300-0004,ch2,8,36.0,1.1358693838119507
20180718-1300-0004,ch2,8,36.0,1.1198852062225342
20180718-1300-0004,ch2,8,36.0,1.1919748783111572
20180718-1300-0004,ch2,8,36.0,1.4966580867767334
20180718-1300-0004,ch2,8,36.0,1.9713908433914185
20180718-1300-0004,ch2,8,36.0,2.6476335525512695
20180718-1300-0004,ch2,8,36.0,3.2621281147003174
20180718-1300-0004,ch2,8,36.0,3.2621281147003174
20180718-1300-0004,ch2,8,36.0,3.7270915508270264
20180718-1300-0004,ch2,8,36.0,4.408351898193359
20180718-1300-0004,ch2,8,36.0,4.742615222930908
20180718-1300-0004,ch2,8,36.0,5.076965808868408
20180718-1300-0004,ch2,8,36.0,5.076965808868408
20180718-1300-0004,ch2,8,36.0,5.287016868591309
20180718-1300-0004,ch2,8,36.0,5.302885055541992
20180718-1300-0004,ch2,8,36.0,4.866390705108643
20180718-1300-0004,ch2,8,36.0,4.251441955566406
20180718-1300-0004,ch2,8,36.0,4.0562896728515625
20180718-1300-0004,ch2,8,36.0,3.069108486175537
20180718-1300-0004,ch2,8,36.0,2.4849071502685547
20180718-1300-0004,ch2,8,36.0,1.7542250156402588
20180718-1300-0004,ch2,8,36.0,1.4800701141357422
20180718-1300-0004,ch2,8,36.0,1.152226448059082
20180718-1300-0004,ch2,8,36.0,0.9759563207626343
20180718-1300-0004,ch2,8,36.0,1.0000407695770264
20180718-1300-0004,ch2,8,36.0,1.0164473056793213
20180718-1300-0004,ch2,8,36.0,1.2463784217834473
