0,1,2,3,4,loc,mean,prot,sample,sd
20180718-1300-0004,HPCA,cyto,8321.111236207187,4521.045307304989,,,,,
20180718-1300-0004,HPCA,memb,1598.6653340203422,1307.641988190843,,,,,
20180718-1300-0004,YFP,cyto,158374.02358511515,105003.45248022549,,,,,
20180718-1300-0004,YFP,memb,91261.97910853794,66807.76736821508,,,,,
20180718-1316-0008,HPCA,cyto,16108.52238393575,5088.096435360713,,,,,
20180718-1316-0008,HPCA,memb,4217.594823229313,3388.7671936681554,,,,,
20180718-1316-0008,YFP,cyto,8087.463612899929,3478.4175532276763,,,,,
20180718-1316-0008,YFP,memb,5165.016483306885,2175.8012288211867,,,,,
20180718-1255-0003,HPCA,cyto,822.9730830887953,171.35016987245984,,,,,
20180718-1255-0003,HPCA,memb,41.8857037226359,93.65928080922988,,,,,
20180718-1255-0003,YFP,cyto,109094.02440665367,45579.41357819096,,,,,
20180718-1255-0003,YFP,memb,15665.938598632812,35030.10363788076,,,,,
20180718-1315-0007,HPCA,cyto,16898.318496882915,1465.8930017634427,,,,,
20180718-1315-0007,HPCA,memb,2738.0187438796547,2284.0059415463134,,,,,
20180718-1315-0007,YFP,cyto,16958.856713158682,6823.597144102948,,,,,
20180718-1315-0007,YFP,memb,28073.918901331286,11152.22566616679,,,,,
20180718-1252-0001,HPCA,cyto,22353.82150361273,6359.520702350728,,,,,
20180718-1252-0001,HPCA,memb,7316.681249936421,8603.388897706209,,,,,
20180718-1252-0001,YFP,cyto,132113.06416705003,46824.80551822888,,,,,
20180718-1252-0001,YFP,memb,87881.57107204861,100745.03289452042,,,,,
20180718-1316-0009,HPCA,cyto,264.8513587728927,106.92790445828864,,,,,
20180718-1316-0009,HPCA,memb,111.5107524645956,74.93828467930422,,,,,
20180718-1316-0009,YFP,cyto,11742.755366099509,14625.979117056346,,,,,
20180718-1316-0009,YFP,memb,24189.732682880604,12128.579971219933,,,,,
20180718-1254-0002,HPCA,cyto,30367.264419023806,16477.15093934115,,,,,
20180718-1254-0002,HPCA,memb,7006.782589545617,10658.432234067865,,,,,
20180718-1254-0002,YFP,cyto,32620.257203255707,16934.18879168117,,,,,
20180718-1254-0002,YFP,memb,11792.510981633113,17714.325677659155,,,,,
20180718-1300-0005,HPCA,cyto,450.4201738848868,358.934079443397,,,,,
20180718-1300-0005,HPCA,memb,152.79452398088245,126.30740687987738,,,,,
20180718-1300-0005,YFP,cyto,131724.96210916454,119888.79977822142,,,,,
20180718-1300-0005,YFP,memb,82868.99243164062,54584.80690703505,,,,,
20180718-1301-0006,HPCA,cyto,3884.6614795876176,3379.406519404689,,,,,
20180718-1301-0006,HPCA,memb,4494.452709499158,2432.6283933059267,,,,,
20180718-1301-0006,YFP,cyto,8381.259082831835,7092.17563657984,,,,,
20180718-1301-0006,YFP,memb,16114.138796354595,7855.234735868446,,,,,
