sample,channel,frame,angl,val
20180718-1315-0007,ch2,11,0,34.81851
20180718-1315-0007,ch2,11,0,32.116047
20180718-1315-0007,ch2,11,0,30.178127
20180718-1315-0007,ch2,11,0,28.642601
20180718-1315-0007,ch2,11,0,27.77229
20180718-1315-0007,ch2,11,0,27.734848
20180718-1315-0007,ch2,11,0,28.36876
20180718-1315-0007,ch2,11,0,29.366604
20180718-1315-0007,ch2,11,0,30.476017
20180718-1315-0007,ch2,11,0,31.360477
20180718-1315-0007,ch2,11,0,31.795341
20180718-1315-0007,ch2,11,0,31.805595
20180718-1315-0007,ch2,11,0,31.513105
20180718-1315-0007,ch2,11,0,31.219921
20180718-1315-0007,ch2,11,0,31.26228
20180718-1315-0007,ch2,11,0,31.824142
20180718-1315-0007,ch2,11,0,33.12874
20180718-1315-0007,ch2,11,0,35.215233
20180718-1315-0007,ch2,11,0,38.006397
20180718-1315-0007,ch2,11,0,41.182487
20180718-1315-0007,ch2,11,0,44.029198
20180718-1315-0007,ch2,11,0,45.674706
20180718-1315-0007,ch2,11,0,45.146145
20180718-1315-0007,ch2,11,0,41.91099
20180718-1315-0007,ch2,11,0,36.181026
20180718-1315-0007,ch2,11,0,28.961311
20180718-1315-0007,ch2,11,0,21.612438
20180718-1315-0007,ch2,11,0,15.318174
20180718-1315-0007,ch2,11,0,10.640186
20180718-1315-0007,ch2,11,0,7.526842
20180718-1315-0007,ch2,11,0,5.654334
20180718-1315-0007,ch2,11,0,4.621044
20180718-1315-0007,ch2,11,0,4.135645
20180718-1315-0007,ch2,11,0,3.9853992
20180718-1315-0007,ch2,11,0,4.01064
20180718-1315-0007,ch2,11,0,4.079945
20180718-1315-0007,ch2,11,0,4.092911
20180718-1315-0007,ch2,11,0,3.9933996
20180718-1315-0007,ch2,11,0,3.7547498
20180718-1315-0007,ch2,11,0,3.3948176
20180718-1315-0007,ch2,11,0,2.9742599
20180718-1315-0007,ch2,11,0,2.5376704
20180718-1315-0007,ch2,11,0,2.1384454
20180718-1315-0007,ch2,11,0,1.8145616
20180718-1315-0007,ch2,11,0,1.5821543
20180718-1315-0007,ch2,11,0,1.4514343
20180718-1315-0007,ch2,11,0,1.4247408
20180718-1315-0007,ch2,11,0,1.4949274
20180718-1315-0007,ch2,11,0,1.64593
20180718-1315-0007,ch2,11,0,1.8452547
20180718-1315-0007,ch2,11,0,2.0241528
20180718-1315-0007,ch2,11,0,2.1243289
20180718-1315-0007,ch2,11,0,2.0967636
20180718-1315-0007,ch2,11,0,1.929543
20180718-1315-0007,ch2,11,0,1.6680291
20180718-1315-0007,ch2,11,0,1.3697402
20180718-1315-0007,ch2,11,0,1.0895008
20180718-1315-0007,ch2,11,0,0.86037284
20180718-1315-0007,ch2,11,0,0.6909589
20180718-1315-0007,ch2,11,0,0.5739567
20180718-1315-0007,ch2,11,0,0.50092834
20180718-1315-0007,ch2,11,0,0.46303117
20180718-1315-0007,ch2,11,0,0.45757115
20180718-1315-0007,ch2,11,0,0.48447132
20180718-1315-0007,ch2,11,0,0.54971105
20180718-1315-0007,ch2,11,0,0.6663878
20180718-1315-0007,ch2,11,0,0.8575661
20180718-1315-0007,ch2,11,0,1.1606965
20180718-1315-0007,ch2,11,0,1.6293709
20180718-1315-0007,ch2,11,0,2.335915
20180718-1315-0007,ch2,11,0,3.3601477
20180718-1315-0007,ch2,11,0,4.7737856
20180718-1315-0007,ch2,11,0,6.6239834
20180718-1315-0007,ch2,11,0,8.895603
20180718-1315-0007,ch2,11,0,11.472139
20180718-1315-0007,ch2,11,0,14.165317
20180718-1315-0007,ch2,11,0,16.609348
20180718-1315-0007,ch2,11,0,18.387995
20180718-1315-0007,ch2,11,0,19.074654
20180718-1315-0007,ch2,11,0,18.398205
20180718-1315-0007,ch2,11,0,16.440836
20180718-1315-0007,ch2,11,0,13.629481
20180718-1315-0007,ch2,11,0,10.58941
20180718-1315-0007,ch2,11,0,7.904029
20180718-1315-0007,ch2,11,0,5.9727993
20180718-1315-0007,ch2,11,0,4.9527946
20180718-1315-0007,ch2,11,0,5.0558825
20180718-1315-0007,ch2,11,0,7.027584
20180718-1315-0007,ch2,11,0,13.493376
20180718-1315-0007,ch2,11,0,32.72731
20180718-1315-0007,ch2,11,0,87.22992
20180718-1315-0007,ch2,11,0,224.52661
20180718-1315-0007,ch2,11,0,509.0862
20180718-1315-0007,ch2,11,0,969.88
20180718-1315-0007,ch2,11,0,1536.4497
20180718-1315-0007,ch2,11,0,2049.459
20180718-1315-0007,ch2,11,0,2343.8843
20180718-1315-0007,ch2,11,0,2344.841
20180718-1315-0007,ch2,11,0,2108.9307
20180718-1315-0007,ch2,11,0,1774.054
20180718-1315-0007,ch2,11,0,1464.4639
20180718-1315-0007,ch2,11,0,1236.7742
20180718-1315-0007,ch2,11,0,1092.7601
20180718-1315-0007,ch2,11,0,1009.4874
20180718-1315-0007,ch2,11,0,959.19714
20180718-1315-0007,ch2,11,0,919.21655
20180718-1315-0007,ch2,11,0,874.85236
20180718-1315-0007,ch2,11,0,820.31757
20180718-1315-0007,ch2,11,0,756.6874
20180718-1315-0007,ch2,11,0,688.6916
20180718-1315-0007,ch2,11,0,621.78174
20180718-1315-0007,ch2,11,0,559.1985
20180718-1315-0007,ch2,11,0,502.48825
20180718-1315-0007,ch2,11,0,451.48315
20180718-1315-0007,ch2,11,0,405.68524
20180718-1315-0007,ch2,11,0,364.42484
20180718-1315-0007,ch2,11,0,327.1738
20180718-1315-0007,ch2,11,0,293.2902
20180718-1315-0007,ch2,11,0,262.14062
20180718-1315-0007,ch2,11,0,233.07451
20180718-1315-0007,ch2,11,0,205.49983
20180718-1315-0007,ch2,11,0,179.46936
20180718-1315-0007,ch2,11,0,155.21219
20180718-1315-0007,ch2,11,0,133.30864
20180718-1315-0007,ch2,11,0,114.42819
20180718-1315-0007,ch2,11,0,98.92815
20180718-1315-0007,ch2,11,0,86.97783
20180718-1315-0007,ch2,11,0,78.37956
20180718-1315-0007,ch2,11,0,72.75194
20180718-1315-0007,ch2,11,0,69.6837
20180718-1315-0007,ch2,11,0,68.72956
