cell,feature,time,int
cell16_01,nucl,1,-0.00048468651306686185
cell16_01,nucl,2,-0.005875134326715489
cell16_01,nucl,3,0.07331752470018467
cell16_01,nucl,4,0.0691175519275944
cell16_01,nucl,5,0.06043809095306547
cell16_01,nucl,6,0.049151750326584004
cell16_01,nucl,7,0.046411630159087246
cell16_01,nucl,8,0.03290944182844595
cell16_01,nucl,9,0.015556312945281509
cell16_01,nucl,10,0.020043042479586697
cell16_01,nucl,11,0.01449328535387428
cell16_01,nucl,12,-0.0005889616991449698
cell16_01,nucl,13,-0.007443606917306927
cell16_01,nucl,14,-0.012328609731771509
cell16_01,nucl,15,-0.018469259578593203
cell16_01,nucl,16,-0.024436117448618053
cell16_01,nucl,17,-0.023112401892015307
cell16_01,nucl,18,-0.029452912512153418
cell16_01,nucl,19,-0.031326969328612654
cell16_01,nucl,20,-0.038501681437375625
cell16_01,nucl,21,-0.043511235168544465
cell16_01,nucl,22,-0.058135830015998494
cell16_01,nucl,23,-0.0484440307766282
cell16_01,nucl,24,-0.05639066891566366
cell16_01,nucl,25,-0.061581255955995874
cell16_01,nucl,26,-0.061320567990800684
cell16_01,nucl,27,-0.06663860248078403
cell16_01,nucl,28,-0.06851555583018981
cell16_01,nucl,29,-0.0684228667758982
cell16_01,nucl,30,-0.062183734808891666
cell16_01,nucl,31,-0.07491689364220686
cell16_01,nucl,32,-0.07103119469432419
cell16_01,nucl,33,-0.0801480321437917
cell16_01,nucl,34,-0.07621743693523642
cell16_01,nucl,35,-0.07782211618766066
cell16_01,nucl,36,-0.08528213679166495
cell16_01,nucl,37,-0.07937176131409905
cell16_01,nucl,38,-0.0879368092372368
cell16_01,nucl,39,-0.08261877474725346
cell16_01,nucl,40,-0.08148912689807387
cell16_01,nucl,41,-0.08591068444108031
cell16_01,nucl,42,-0.07986127538207693
cell16_01,nucl,43,-0.08259125768426062
cell16_01,nucl,44,-0.08764281114315535
cell16_01,nucl,45,-0.09414263107535725
cell16_01,nucl,46,-0.09695371630004619
cell16_01,nucl,47,-0.08638281931137826
cell16_01,nucl,48,-0.0882148764001116
cell16_01,nucl,49,-0.09944038983471429
cell16_01,nucl,50,-0.09245974543337447
cell16_01,nucl,51,-0.0966481320741784
cell16_01,nucl,52,-0.10091327683806742
cell16_01,nucl,53,-0.09500724615992151
cell16_01,nucl,54,-0.08977321112538995
cell16_01,nucl,55,-0.09722599039702788
cell16_01,nucl,56,-0.09679006218856241
cell16_01,nucl,57,-0.0967784760567759
cell16_01,nucl,58,-0.1023151987842287
cell16_01,nucl,59,-0.10794750709891948
cell16_01,nucl,60,-0.10178658152147163
cell16_01,nucl,61,-0.09577193085782763
cell16_01,nucl,62,-0.0968450963145481
cell16_01,nucl,63,-0.10135934291184596
cell16_01,nucl,64,-0.10076555365779014
cell16_01,nucl,65,-0.10249912862633863
cell16_01,nucl,66,-0.10739861410553626
cell16_01,nucl,67,-0.10433118571507195
cell16_01,nucl,68,-0.10416753160358835
cell16_01,nucl,69,-0.100420866237143
cell16_01,nucl,70,-0.09958956128146483
cell16_01,nucl,71,-0.113308989583102
cell16_01,nucl,72,-0.10335215757911637
cell16_01,nucl,73,-0.10413566974117552
cell16_01,nucl,74,-0.10957825514786329
cell16_01,nucl,75,-0.10283802298109251
cell16_01,nucl,76,-0.10283657471461907
cell16_01,nucl,77,-0.11440967210281547
cell16_01,nucl,78,-0.11110472801072883
cell16_01,nucl,79,-0.1074348207673689
cell16_01,nucl,80,-0.11709041334490672
cell16_01,nucl,81,-0.10571862499650002
cell16_01,nucl,82,-0.10695978936412424
cell16_01,nucl,83,-0.10350422555881363
cell16_01,nucl,84,-0.10696558243001733
cell16_01,nucl,85,-0.10522476612910232
cell16_01,nucl,86,-0.10646158569730656
cell16_01,nucl,87,-0.11387381350769187
cell16_01,nucl,88,-0.10984183964600519
cell16_01,nucl,89,-0.11741192850198084
cell16_01,nucl,90,-0.1163257286470006
cell16_01,nucl,91,-0.1065137232903457
cell16_01,nucl,92,-0.11240961610317837
cell16_01,nucl,93,-0.11667186433412084
cell16_01,nucl,94,-0.11860819660893246
cell16_01,nucl,95,-0.11987687803954936
cell16_01,nucl,96,-0.11103810775295664
cell16_01,nucl,97,-0.12255037794927408
cell16_01,nucl,98,-0.12319340826342233
cell16_01,nucl,99,-0.11360588421012999
cell16_01,nucl,100,-0.12559463407616536
cell16_01,nucl,101,-0.11171589646246442
cell16_01,nucl,102,-0.11749592795743263
cell16_01,nucl,103,-0.12212458760612185
cell16_01,nucl,104,-0.1088295013811635
cell16_01,nucl,105,-0.12024473772376937
cell16_01,nucl,106,-0.11598828255871997
cell16_01,nucl,107,-0.11830985371543119
cell16_01,nucl,108,-0.10855143421828854
cell16_01,nucl,109,-0.10758833701353944
cell16_01,nucl,110,-0.11035597424402903
cell16_01,nucl,111,-0.11408815694574118
cell16_01,nucl,112,-0.12079942378304584
cell16_01,nucl,113,-0.10499594002631996
cell16_01,nucl,114,-0.10956956554902332
cell16_01,nucl,115,-0.1024165774373601
cell16_01,nucl,116,-0.1077070948643506
cell16_01,nucl,117,-0.11194327429877352
cell15_01,cyto,1,-0.004712882320555524
cell15_01,cyto,2,-0.012543364487221145
cell15_01,cyto,3,-0.0003449259404206743
cell15_01,cyto,4,-0.012190147057848058
cell15_01,cyto,5,-0.030184336382390153
cell15_01,cyto,6,-0.03447269446858182
cell15_01,cyto,7,-0.038686429154201764
cell15_01,cyto,8,-0.05744177716457612
cell15_01,cyto,9,-0.08108744535908775
cell15_01,cyto,10,-0.04856656738990553
cell15_01,cyto,11,-0.0671776434925078
cell15_01,cyto,12,-0.09855429598625595
cell15_01,cyto,13,-0.09380824770989078
cell15_01,cyto,14,-0.09363910133526131
cell15_01,cyto,15,-0.09413161577903516
cell15_01,cyto,16,-0.11012589796825359
cell15_01,cyto,17,-0.10196209794570063
