cell,feature,time,int
cell16_01,nucl,1,-0.0007471481097388153
cell16_01,nucl,2,-0.005321957198076725
cell16_01,nucl,3,0.07264070896577733
cell16_01,nucl,4,0.06885782973508069
cell16_01,nucl,5,0.06017629867068923
cell16_01,nucl,6,0.048071085132459675
cell16_01,nucl,7,0.04562034505515231
cell16_01,nucl,8,0.03143490148015458
cell16_01,nucl,9,0.01423163948336006
cell16_01,nucl,10,0.019872725558593443
cell16_01,nucl,11,0.012487979636089464
cell16_01,nucl,12,-0.001203921938342538
cell16_01,nucl,13,-0.008366644668615076
cell16_01,nucl,14,-0.013362873574054903
cell16_01,nucl,15,-0.01887385688696138
cell16_01,nucl,16,-0.02488121052135383
cell16_01,nucl,17,-0.024021400961629035
cell16_01,nucl,18,-0.03016592816064859
cell16_01,nucl,19,-0.03172998962948991
cell16_01,nucl,20,-0.03965211652682183
cell16_01,nucl,21,-0.04466955783916274
cell16_01,nucl,22,-0.059569152446497596
cell16_01,nucl,23,-0.04936032808522667
cell16_01,nucl,24,-0.05705477514848682
cell16_01,nucl,25,-0.0626689921749788
cell16_01,nucl,26,-0.062455453945507604
cell16_01,nucl,27,-0.06725511454699719
cell16_01,nucl,28,-0.0689789761478269
cell16_01,nucl,29,-0.06965353068728194
cell16_01,nucl,30,-0.06250494956161029
cell16_01,nucl,31,-0.07624210427076454
cell16_01,nucl,32,-0.07191618742339964
cell16_01,nucl,33,-0.08192137267841997
cell16_01,nucl,34,-0.07692372961251995
cell16_01,nucl,35,-0.07936598472706707
cell16_01,nucl,36,-0.0866460827755255
cell16_01,nucl,37,-0.08045347412086362
cell16_01,nucl,38,-0.08963278966720092
cell16_01,nucl,39,-0.08395776374092578
cell16_01,nucl,40,-0.08348967662864142
cell16_01,nucl,41,-0.08725982841519754
cell16_01,nucl,42,-0.08096115772602992
cell16_01,nucl,43,-0.08446261902517199
cell16_01,nucl,44,-0.08896389176958605
cell16_01,nucl,45,-0.09627227302724609
cell16_01,nucl,46,-0.09826058263410957
cell16_01,nucl,47,-0.08809135476572073
cell16_01,nucl,48,-0.09028754596021493
cell16_01,nucl,49,-0.1018879042141981
cell16_01,nucl,50,-0.0934397096257189
cell16_01,nucl,51,-0.09884321674365976
cell16_01,nucl,52,-0.10377722258885637
cell16_01,nucl,53,-0.09709390025454884
cell16_01,nucl,54,-0.09247666635240877
cell16_01,nucl,55,-0.09937352691618734
cell16_01,nucl,56,-0.09841048364287736
cell16_01,nucl,57,-0.09840058451965676
cell16_01,nucl,58,-0.10442915056095028
cell16_01,nucl,59,-0.11002639766192131
cell16_01,nucl,60,-0.10365560478929003
cell16_01,nucl,61,-0.09817714716696528
cell16_01,nucl,62,-0.09912887715659477
cell16_01,nucl,63,-0.10358489676628642
cell16_01,nucl,64,-0.10338267182049586
cell16_01,nucl,65,-0.10501744131234096
cell16_01,nucl,66,-0.10885830112190069
cell16_01,nucl,67,-0.10698029603092292
cell16_01,nucl,68,-0.10678655604789292
cell16_01,nucl,69,-0.10309135476572069
cell16_01,nucl,70,-0.10319741680022627
cell16_01,nucl,71,-0.11525737720373341
cell16_01,nucl,72,-0.10568916753087576
cell16_01,nucl,73,-0.10598614122749125
cell16_01,nucl,74,-0.1115239935891393
cell16_01,nucl,75,-0.1053243141321769
cell16_01,nucl,76,-0.10553785236164794
cell16_01,nucl,77,-0.11612284340529837
cell16_01,nucl,78,-0.11279108136136513
cell16_01,nucl,79,-0.10999245781087955
cell16_01,nucl,80,-0.11960592061845944
cell16_01,nucl,81,-0.1077029320260206
cell16_01,nucl,82,-0.10908456679551241
cell16_01,nucl,83,-0.10590270576034695
cell16_01,nucl,84,-0.11006599415480339
cell16_01,nucl,85,-0.10760959743565571
cell16_01,nucl,86,-0.10921891203921943
cell16_01,nucl,87,-0.11620769303290286
cell16_01,nucl,88,-0.1122989535212596
cell16_01,nucl,89,-0.11943480720279057
cell16_01,nucl,90,-0.11760912604883572
cell16_01,nucl,91,-0.10804091637597807
cell16_01,nucl,92,-0.1139492787781653
cell16_01,nucl,93,-0.11872631281229376
cell16_01,nucl,94,-0.11985198453851237
cell16_01,nucl,95,-0.12194777034034131
cell16_01,nucl,96,-0.11327896672009054
cell16_01,nucl,97,-0.12426840765532193
cell16_01,nucl,98,-0.12536721033279913
cell16_01,nucl,99,-0.11503676817196186
cell16_01,nucl,100,-0.12798623550485527
cell16_01,nucl,101,-0.11390261148298285
cell16_01,nucl,102,-0.11946309041199202
cell16_01,nucl,103,-0.12504053926652214
cell16_01,nucl,104,-0.11082539832186293
cell16_01,nucl,105,-0.12255444517771281
cell16_01,nucl,106,-0.11760629772791548
