cell,area,time,int
1,100%,1,236.411
1,100%,2,237.502
1,100%,3,233.032
1,100%,4,237.374
1,100%,5,227.329
1,100%,6,2487.101
1,100%,7,2435.392
1,100%,8,2404.92
1,100%,9,2367.3
1,100%,10,2346.205
1,100%,11,2320.427
1,100%,12,2298.107
1,100%,13,2297.054
1,100%,14,2264.127
1,100%,15,2229.953
1,100%,16,2216.445
1,100%,17,2193.456
1,100%,18,2161.085
1,100%,19,2145.461
1,100%,20,2099.708
1,100%,21,2067.033
1,100%,22,2042.627
1,100%,23,2028.361
1,100%,24,1980.833
1,100%,25,1944.079
1,100%,26,1917.307
1,100%,27,1889.984
1,100%,28,1866.874
1,100%,29,1830.027
1,100%,30,1791.165
1,100%,31,1749.176
1,100%,32,1724.659
1,100%,33,1686.471
1,100%,34,1660.439
1,100%,35,1613.271
1,100%,36,1576.088
1,100%,37,1557.888
1,100%,38,1507.741
1,100%,39,1488.104
1,100%,40,1434.521
1,100%,41,1420.243
1,100%,42,1381.227
1,100%,43,1345.202
1,100%,44,1320.392
1,100%,45,1280.698
1,100%,46,1257.222
1,100%,47,1220.651
1,100%,48,1182.971
1,100%,49,1167.655
1,100%,50,1128.971
1,100%,51,1117.533
1,100%,52,1077.159
1,100%,53,1038.762
1,100%,54,1015.847
1,100%,55,1007.46
1,100%,56,980.595
1,100%,57,952.419
1,100%,58,934.368
1,100%,59,919.513
1,100%,60,892.124
1,100%,61,881.008
1,100%,62,846.995
1,100%,63,827.74
1,100%,64,828.615
1,100%,65,808.414
1,100%,66,792.925
1,100%,67,779.981
1,100%,68,754.569
1,100%,69,742.991
1,100%,70,724.824
1,100%,71,717.1
1,100%,72,706.045
1,100%,73,697.44
1,100%,74,677.762
1,100%,75,690.98
1,100%,76,659.009
1,100%,77,661.011
1,100%,78,649.317
1,100%,79,638.57
1,100%,80,631.456
1,100%,81,619.825
1,100%,82,616.105
1,100%,83,595.579
1,100%,84,586.706
1,100%,85,584.399
1,100%,86,578.56
1,100%,87,564.045
1,100%,88,552.474
1,100%,89,551.867
1,100%,90,551.239
1,100%,91,535.017
1,100%,92,537.054
1,100%,93,529.585
1,100%,94,513.802
1,100%,95,517.726
1,100%,96,502.82
1,100%,97,501.373
1,100%,98,492.684
1,100%,99,502.47
1,100%,100,493.555
1,100%,101,482.922
1,100%,102,470.912
1,100%,103,466.576
1,100%,104,468.401
1,100%,105,461.845
1,100%,106,466.485
1,100%,107,448.442
1,100%,108,447.388
1,100%,109,451.985
1,100%,110,440.948
1,100%,111,434.073
1,100%,112,435.951
1,100%,113,431.835
1,100%,114,421.495
1,100%,115,426.469
1,100%,116,424.265
1,100%,117,415.324
1,100%,118,415.976
1,100%,119,410.57
1,100%,120,403.854
2,50%,1,302.298
2,50%,2,309.522
2,50%,3,306.052
2,50%,4,307.945
2,50%,5,305.385
2,50%,6,2801.085
2,50%,7,2784.036
2,50%,8,2756.412
2,50%,9,2739.252
2,50%,10,2728.957
2,50%,11,2704.614
2,50%,12,2679.606
2,50%,13,2669.58
2,50%,14,2639.376
2,50%,15,2610.93
2,50%,16,2598.761
2,50%,17,2576.057
2,50%,18,2558.573
2,50%,19,2528.89
2,50%,20,2501.251
2,50%,21,2472.646
2,50%,22,2433.685
2,50%,23,2409.173
2,50%,24,2381.71
2,50%,25,2354.362
2,50%,26,2310.423
2,50%,27,2268.951
2,50%,28,2219.273
2,50%,29,2197.33
2,50%,30,2146.443
2,50%,31,2113.959
2,50%,32,2067.457
2,50%,33,2022.398
2,50%,34,1988.686
2,50%,35,1950.469
2,50%,36,1898.29
2,50%,37,1869.108
2,50%,38,1823.742
2,50%,39,1784.033
2,50%,40,1761.147
2,50%,41,1707.989
2,50%,42,1676.792
2,50%,43,1630.376
2,50%,44,1583.177
2,50%,45,1569.382
2,50%,46,1567.116
2,50%,47,1559.028
2,50%,48,1543.852
2,50%,49,1522.53
2,50%,50,1478.535
2,50%,51,1444.955
2,50%,52,1412.597
2,50%,53,1382.213
2,50%,54,1324.164
2,50%,55,1317.443
2,50%,56,1264.686
2,50%,57,1250.745
2,50%,58,1222.573
2,50%,59,1182.05
2,50%,60,1164.629
2,50%,61,1137.504
2,50%,62,1109.481
2,50%,63,1088.567
2,50%,64,1058.652
2,50%,65,1041.286
2,50%,66,1015.887
2,50%,67,1000.295
2,50%,68,977.884
2,50%,69,969.878
2,50%,70,942.43
2,50%,71,922.845
2,50%,72,908.971
2,50%,73,890.476
2,50%,74,874.636
2,50%,75,861.451
2,50%,76,845.015
2,50%,77,828.79
2,50%,78,820.239
2,50%,79,800.808
2,50%,80,791.183
2,50%,81,777.396
2,50%,82,774.081
2,50%,83,762.234
2,50%,84,756.974
2,50%,85,743.617
2,50%,86,728.937
2,50%,87,727.48
2,50%,88,716.638
2,50%,89,710.601
2,50%,90,698.346
2,50%,91,701.876
2,50%,92,688.224
2,50%,93,682.089
2,50%,94,675.72
2,50%,95,671.298
2,50%,96,661.648
2,50%,97,659.922
2,50%,98,648.896
2,50%,99,652.873
2,50%,100,639.688
2,50%,101,632.887
2,50%,102,639.287
2,50%,103,630.728
2,50%,104,626.477
2,50%,105,618.636
2,50%,106,621.857
2,50%,107,616.776
2,50%,108,606.287
2,50%,109,614.33
2,50%,110,609.761
2,50%,111,604.501
2,50%,112,598.692
2,50%,113,591.319
2,50%,114,594.66
2,50%,115,591.461
2,50%,116,586.004
2,50%,117,586.869
2,50%,118,581.997
2,50%,119,570.009
2,50%,120,571.531
