cell,area,time,int
1,1,1,145.816
1,1,2,147.348
1,1,3,146.285
1,1,4,144.878
1,1,5,145.532
1,1,6,1417.783
1,1,7,1365.221
1,1,8,1346.225
1,1,9,1338.681
1,1,10,1311.294
1,1,11,1288.861
1,1,12,1278.877
1,1,13,1269.537
1,1,14,1252.352
1,1,15,1234.848
1,1,16,1204.763
1,1,17,1179.938
1,1,18,1169.429
1,1,19,1143.26
1,1,20,1114.432
1,1,21,1102.725
1,1,22,1075.262
1,1,23,1047.119
1,1,24,1034.293
1,1,25,1013.512
1,1,26,990.855
1,1,27,964.267
1,1,28,930.847
1,1,29,910.396
1,1,30,897.645
1,1,31,880.363
1,1,32,849.829
1,1,33,837.108
1,1,34,805.949
1,1,35,794.097
1,1,36,764.878
1,1,37,742.299
1,1,38,720.678
1,1,39,692.859
1,1,40,683.844
1,1,41,653.217
1,1,42,631.019
1,1,43,609.046
1,1,44,589.575
1,1,45,569.498
1,1,46,556.854
1,1,47,536.82
1,1,48,517.988
1,1,49,503.044
1,1,50,501.464
1,1,51,485.716
1,1,52,472.795
1,1,53,465.631
1,1,54,442.998
1,1,55,434.947
1,1,56,427.595
1,1,57,416.689
1,1,58,413.377
1,1,59,405.751
1,1,60,391.832
1,1,61,381.676
1,1,62,378.884
1,1,63,379.081
1,1,64,360.556
1,1,65,362.665
1,1,66,356.093
1,1,67,346.82
1,1,68,340.306
1,1,69,338.91
1,1,70,335.073
1,1,71,330.752
1,1,72,320.636
1,1,73,314.484
1,1,74,318.383
1,1,75,312.482
1,1,76,307.057
1,1,77,299.057
1,1,78,298.697
1,1,79,294.614
1,1,80,293.477
1,1,81,294.444
1,1,82,291.591
1,1,83,280.941
1,1,84,284.197
1,1,85,279.887
1,1,86,278.357
1,1,87,270.082
1,1,88,276.522
1,1,89,266.198
1,1,90,262.517
1,1,91,267.101
1,1,92,265.533
1,1,93,264.997
1,1,94,257.978
1,1,95,261.986
1,1,96,255.064
1,1,97,257.553
1,1,98,257.905
1,1,99,246.192
1,1,100,249.051
1,1,101,241.254
1,1,102,242.459
1,1,103,243.38
1,1,104,236.479
1,1,105,237.708
1,1,106,238.217
1,1,107,234.222
1,1,108,235.08
1,1,109,233.666
1,1,110,230.121
1,1,111,236.818
1,1,112,229.863
1,1,113,227.942
1,1,114,219.625
1,1,115,222.548
1,1,116,219.732
1,1,117,222.406
1,1,118,212.781
1,1,119,218.491
1,1,120,215.062
2,1/5,1,212.514
2,1/5,2,208.69
2,1/5,3,209.349
2,1/5,4,211.978
2,1/5,5,215.189
2,1/5,6,657.695
2,1/5,7,640.231
2,1/5,8,608.829
2,1/5,9,593.272
2,1/5,10,576.298
2,1/5,11,557.581
2,1/5,12,558.812
2,1/5,13,539.79
2,1/5,14,533.237
2,1/5,15,507.934
2,1/5,16,503.8
2,1/5,17,498.531
2,1/5,18,485.633
2,1/5,19,476.757
2,1/5,20,467.752
2,1/5,21,457.271
2,1/5,22,445.33
2,1/5,23,444.516
2,1/5,24,433.08
2,1/5,25,432.094
2,1/5,26,420.281
2,1/5,27,412.966
2,1/5,28,411.451
2,1/5,29,402.188
2,1/5,30,391.853
2,1/5,31,391.004
2,1/5,32,386.251
2,1/5,33,381.792
2,1/5,34,371.166
2,1/5,35,370.162
2,1/5,36,368.367
2,1/5,37,359.169
2,1/5,38,365.243
2,1/5,39,353.575
2,1/5,40,350.561
2,1/5,41,342.486
2,1/5,42,348.109
2,1/5,43,344.16
2,1/5,44,343.058
2,1/5,45,333.812
2,1/5,46,333.93
2,1/5,47,317.587
2,1/5,48,326.634
2,1/5,49,319.593
2,1/5,50,322.298
2,1/5,51,320.326
2,1/5,52,317.42
2,1/5,53,313.341
2,1/5,54,308.563
2,1/5,55,309.938
2,1/5,56,310.949
2,1/5,57,301.361
2,1/5,58,303.579
2,1/5,59,300.244
2,1/5,60,294.919
2,1/5,61,293.904
2,1/5,62,294.348
2,1/5,63,296.311
2,1/5,64,291.679
2,1/5,65,292.381
2,1/5,66,293.892
2,1/5,67,290.335
2,1/5,68,290.66
2,1/5,69,285.796
2,1/5,70,284.189
2,1/5,71,286.006
2,1/5,72,280.467
2,1/5,73,280.699
2,1/5,74,283.408
2,1/5,75,275.731
2,1/5,76,278.801
2,1/5,77,275.518
2,1/5,78,275.855
2,1/5,79,271.163
2,1/5,80,271.058
2,1/5,81,268.677
2,1/5,82,270.808
2,1/5,83,267.673
2,1/5,84,267.074
2,1/5,85,266.884
2,1/5,86,266.888
2,1/5,87,264.876
2,1/5,88,268.248
2,1/5,89,261.567
2,1/5,90,260.718
2,1/5,91,256.632
2,1/5,92,264.699
